roi	age_linear
3rd-Ventricle	744.2166400965494
4th-Ventricle	1363.222093116316
Brain-Stem	11204.193571213864
CSF	2143.2875252212534
Left-Accumbens-area	418.6288538960923
Left-Amygdala	844.2013414110913
Left-Caudate	2816.294787812626
Left-Cerebellum-Cortex	59770.35279428431
Left-Cerebellum-White-Matter	9272.329611909774
Left-Cerebral-Cortex	194320.75575589214
Left-Cerebral-White-Matter	121846.65183555902
Left-choroid-plexus	417.2547836123813
Left-Hippocampus	1760.3642441310517
Left-Inf-Lat-Vent	926.7275146359909
Left-Lateral-Ventricle	8623.089981951833
Left-Pallidum	1993.2836639525974
Left-Putamen	2899.9219112621468
Left-Thalamus-Proper*	3774.77736696389
Left-VentralDC	3012.0582498889935
Right-Accumbens-area	412.82742930821587
Right-Amygdala	816.9145343081493
Right-Caudate	2719.697892894863
Right-Cerebellum-Cortex	60434.49302151155
Right-Cerebellum-White-Matter	9350.792631352331
Right-Cerebral-Cortex	191182.1361070642
Right-Cerebral-White-Matter	126297.49595985803
Right-choroid-plexus	515.1964041076448
Right-Hippocampus	1773.840385553584
Right-Inf-Lat-Vent	799.6440324284238
Right-Lateral-Ventricle	7421.291989990212
Right-Pallidum	1474.5202943500053
Right-Putamen	3419.3291842049857
Right-Thalamus-Proper*	2618.862777496142
Right-VentralDC	3170.3502658569832
Vermis	-1605.6941815684158
